Fall Creek Unit| Santa Cruz| 6.8| loop through wonderful pockets of redwoods and maples along Fall Creek.| Total elevation | is about 1000 feet 
El Sereno Open Space Preserve| Santa Clara| 6| out and back on a remote ridge above Lexington Reservoir. Scarce parking.| Total elevation | is about 1300 feet
Blithedale Summit Open Space Preserve| Marin| 6.6| partial loop tours middle slopes of Mount Tamalpais above Mill Valley.| Total elevation | is about 1300 feet
Wildcat Canyon Regional Park| Contra Costa| 6| loop through mostly grassland near Richmond.| Total elevation | about 1200 feet 
Upper Stevens Creek County Park| Santa Clara| 5.5| loop up and down the eastern slope of the Santa Cruz Mountains. The return climb is shaded but sustained.| Total elevation | is about 1100 feet
Muir Woods Road| Marin| 6.7| loop through Muir Woods and surrounding coastal scrub. Dipsea Trail is a Bay Area Ridge Trail segment.| Total elevation | is about 1300 feet
Rock Spring| Marin| 6.5| loop through lonely woods on Mount Tam's northern slope.| Total elevation | is about 1200 feet 
Purisima Creek| San Mateo| 7| loop captures the best of this preserve -- redwoods, creek, chaparral, and great views.| Total elevation | is about 1300 feet
Almaden Quicksilver County Park | Santa Clara| 7.6| loop through oaks and grassland at a former mercury mine site.| Total elevation | is about 1200 feet
Sugarloaf Ridge State Park| Sonoma| 6.2| loop to Bald Mountain and back. Lots of rolling grassy hills great views some shade and a creek to cross a few times.| Total elevation | is about 1400 feet 
Hamms Gulch-Spring Ridge Loop| San Mateo| 7.2| loop starts in Portola Valley and climbs to the crest of the Santa Cruz Mountains then drops sharply back through grassland. Very pretty and cool in summer fog.| Total elevation | is about 1400 feet 
Los Vaqueros Watershed| Alameda| 9| loop up and down fire roads on the hills above a reservoir where golden eagles are regularly spotted.| Total elevation |1300 feet 
Tomales Point| Marin |9.5| out and back on the Point Reyes peninsula to the tip of Tomales Point. Excellent wildlife watching; lots of tule elk.| Total elevation | is about 1300 feet
Palomarin| Marin| 7.5| out and back along the coast of Point Reyes to Alamere Falls. Two tricky scrambles.| Total elevation | is about 600 feet 
Grant County Park| Santa Clara| 7.5| loop climbs up and down grassy hillsides dotted with oaks on the high slopes of Mount Hamilton. Great in early spring but incredibly hot in summer.| Total elevation | is about 1300 feet
Mission Peak Regional Preserve| Alameda| 5.6| out and back is a steep trek from the edge of a residential neighborhood to the top of the mountain. Hosts a Bay Area Ridge Trail segment.| Total elevation | is about 2200 feet
Matt Davis-Steep Ravine| Marin| 7.3| Mount Tam loop from Stinson Beach to Pantoll and back, through gorgeous woods, high grassy slopes, and lush steep ravine. Matt Davis Trail is a Bay Area Ridge Trail segment.| Total elevation | about 1600 feet
Barnabe Peak| Marin| 9| loop to Samuel P. Taylor State Park's highest peak.| Total elevation | is about 1400 feet
McNee Ranch State Park| San Mateo| 8| partial loop starts with a killer climb to the top of Montara Mountain, but the return is all downhill.| Total elevation | is about 1800 feet 
Mitchell Canyon-Eagle Peak Loop| Contra Costa| 7.8| Mount Diablo hike is a creek-to-peak loop through stunning mountain landscapes. Many steep sections.| Total elevation | is about 2000 feet
Rancho San Antonio Open Space Preserve| Santa Clara| 9.4| out and back to the top of Black Mountain. Mostly easy but the last to the top is very steep.| Total elevation | is about 2300 feet
Berry Creek Falls| Santa Cruz| 12| out and back from the ocean to Berry Creek Falls. Mostly on fire roads, this is an easier hike than the equivalent journey from park headquarters, and far less crowded.| Total elevation | is about 500 feet
Jack London State Historic Park| Sonoma| 10.3| out and back hike through woods above Jack London's ranch. Hosts a Bay Area Ridge Trail segment.| Total elevation | is about 1500 feet 
 Waterfall Loop| Santa Cruz| 11| loop through redwoods and past waterfalls. A Bay Area classic!| Total elevation | is about 2000 feet
 Robert Louis Stevenson State Park| Napa| 11.2| out and back to the top of Mount St. Helena.| Total elevation | is about 2200 feet
